Controls,Pair,Task,Deception,Conflict,Gender,Age,Topic,FeltClose,FeltUnderstood,Understood,DiffFeltClose,DiffFeltUnderstood,DiffUnderstood,SpeechbeatRR,SpeechbeatDET,SpeechbeatL,SpeechbeatLMAX,SpeechbeatENTR,SpeechbeatT2
3,9,2,1,0,3,19,2,4,3,3,0,4,4,0.0162928,0.5345,3.33184,9,1.51478,94.3741
3,11,2,0,0,1,22,4,4,5,5.5,0,2,1,0.112358,0.853478,6.05544,104,2.03421,34.7869
3,12,2,0,0,3,19,2,4,4.5,4.5,0,1,1,0.00506334,0.0569536,2.02353,3,0.111474,120.688
3,13,2,0,0,1,18,1,4.5,5.5,5,1,1,2,0.00352712,0.182165,2.17133,5,0.484209,173.614
3,15,2,0,0,3,19,1,3.5,4.5,4.5,1,1,1,0.0159511,0.437139,2.47532,9,0.919492,68.0886
3,18,2,1,0,1,19.5,7,4,5,5,0,0,0,0.0184641,0.535224,2.84622,7,1.16509,57.8849
3,19,2,0,0,3,20,8,4,5,5,0,2,0,0.0106091,0.302379,2.4241,10,0.84477,116.931
3,21,2,1,0,3,21,7,4.5,4.5,5,1,1,2,0.1928,0.948576,16.5077,223,2.63825,33.968
3,24,2,0,0,3,21,4,2.5,4,5,3,0,0,0.00507344,0.447385,2.24654,5,0.5773,137.296
3,25,2,1,0,3,19.5,1,3.5,5,5,3,0,0,0.0123824,0.365782,2.35153,7,0.768034,80.3723
3,26,2,1,0,1,21,4,3.5,5.5,5.5,1,1,1,0.0964555,0.836112,4.31227,17,1.85434,36.2824
3,27,2,1,0,3,21,5,2.5,4,5,1,4,2,0.0178987,0.619308,3.71354,13,1.65038,82.1987
3,30,2,0,0,1,20,2,4,4.5,5,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN
3,31,2,0,0,1,22,6,4.5,4,4.5,1,2,1,0.131724,0.893735,4.51058,55,2.02782,31.2055
3,33,2,1,0,3,18.5,6,3.5,4.5,4.5,1,1,1,0.210561,0.904494,5.02962,31,2.02144,70.8856
3,34,2,1,0,1,20.5,5,4,5,4,NaN,NaN,NaN,0.00333031,0.305296,2,2,NaN,80.9109
3,35,2,0,0,1,20,6,3.5,2.5,4.5,1,3,1,0.0221904,0.600769,3.21876,13,1.34492,96.3016
3,36,2,1,0,3,20.5,2,4,5.5,6,0,1,0,0.0429978,0.806689,4.40702,49,1.9417,58.7564
3,37,2,1,0,1,19.5,1,3.5,4.5,4.5,1,1,1,0.00480601,0.0515192,2,2,NaN,99.4243
3,38,2,0,0,3,18,7,3,4,4,2,2,0,NaN,NaN,NaN,NaN,NaN,NaN
3,39,2,0,0,1,20.5,6,4,5,5,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
3,40,2,1,0,0,20,7,4.5,5,5,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN
3,41,2,0,0,3,19.5,2,4,5,5,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
3,7,3,1,0,1,18,2,4,4,5,2,0,0,0.069008,0.790885,3.34641,40,1.53276,34.6024
3,8,3,1,0,3,19,3,4,5,5.5,0,0,1,0.0421853,0.404958,2.49076,8,0.860195,47.2526
3,9,3,0,0,3,19,3,4.5,3,3,1,4,4,0.00759156,0.332111,2.31346,6,0.701502,125.875
3,11,3,1,0,1,22,2,2.5,4.5,5,3,3,2,0.000503951,0.0209059,2,2,NaN,158.655
3,12,3,1,0,3,19,9,2.5,2.5,4.5,1,1,1,0.13104,0.851392,4.3578,34,1.97493,25.7491
3,13,3,1,0,1,18,6,4.5,5,4.5,1,0,3,0.013297,0.541967,2.80433,14,1.19917,98.9045
3,15,3,1,0,3,19,5,3.5,5,5,1,2,2,0.0174342,0.435581,2.73464,10,1.05517,77.382
3,18,3,0,0,1,19.5,2,4,4.5,5.5,2,1,1,0.027162,0.608524,2.79517,14,1.20881,41.3148
3,19,3,1,0,3,20,2,4.5,4.5,4.5,1,1,1,0.00812835,0.427831,2.51907,6,0.900425,141.175
3,21,3,0,0,3,21,1,4,4,5.5,0,0,1,0.10269,0.85087,6.54996,83,2.23011,40.1796
3,24,3,1,0,3,21,1,4.5,6,6,3,0,0,0.00186674,0.0241135,2,2,NaN,228.173
3,25,3,0,0,3,19.5,5,4,3.5,5.5,2,3,1,0.0293887,0.543005,2.63879,8,1.0572,52.3174
3,26,3,0,0,1,21,5,4.5,5.5,5.5,1,1,1,0.106449,0.876359,4.59062,26,1.9403,32.9936
3,27,3,0,0,3,21,6,2.5,3.5,4,1,5,0,0.019022,0.617716,3.2739,14,1.42177,82.2827
3,30,3,1,0,1,20,3,3.5,4,4.5,1,2,1,0.00433974,0.215003,2.21776,6,0.561441,163.508
3,31,3,1,0,1,22,2,5,4,5,0,2,0,NaN,NaN,NaN,NaN,NaN,NaN
3,33,3,0,0,3,18.5,1,3,3.5,4,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN
3,34,3,0,0,1,20.5,7,3,2,3,NaN,NaN,NaN,0.00444246,0.0262486,2,2,NaN,101.417
3,35,3,1,0,1,20,10,3.5,4,4,1,0,0,0.0470426,0.752946,4.97718,76,1.72206,37.563
3,36,3,0,0,3,20.5,6,3.5,3.5,5.5,3,3,1,0.031417,0.822283,3.77578,14,1.76331,57.724
3,37,3,0,0,1,19.5,7,4.5,4.5,5.5,3,1,1,NaN,NaN,NaN,NaN,NaN,NaN
3,38,3,1,0,3,18,10,4,4.5,5,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN
3,39,3,1,0,1,20.5,10,3.5,5,5,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN
3,40,3,0,0,0,20,1,4.5,5,5,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN
3,41,3,1,0,3,19.5,1,3.5,5,5,1,0,0,0.0055775,0.0908723,2.03167,4,0.136921,115.711
3,48,2,0,1,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
3,49,2,0,1,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
3,50,2,0,1,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
3,52,2,0,1,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
3,53,2,1,1,1,18,1,4.5,5.5,5.5,1,1,1,0.195777,0.956347,7.65014,135,2.30665,27.2418
3,54,2,0,1,3,18.5,1,4.5,5.5,6,1,1,0,0.00658009,0.426161,3.40543,6,1.15105,151.243
3,56,2,0,1,1,19.5,5,5,5,4.5,0,0,1,0.0276164,0.225148,2.86073,7,1.1605,101.569
3,59,2,0,1,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
